,subject_id,time_elapsed,gender,age,understood,comments
0,A10249252O9I20MRSOBVF,1218333,female,58,yes,
1,A1AZTE5W2MF1TU,1116795,female,74,yes,"If there is a way to ""teach"" rather than guess I totally missed it!"
2,A1FMVUYV72MUO3,1403599,male,40,yes,NA
3,A1HKY2VIN9UFZN,892283,male,34,yes,
4,A1I7H6RDJS4EKN,2277471,male,66,yes,Maybe 3 trials before the actual game would have helped me perform better?
5,A1PAY3X73PQ16S,634765,female,54,yes,none
6,A1TARNH07A75CG,979919,male,31,yes,no
7,A1WPGNK8Y65BV3,653918,female,29,yes,none!
8,A1Y25W1Y7KDE5,808205,male,61,yes,n/a
9,A23OS0HQ12VVOR,1331995,male,35,yes,None
10,A2CK0OXMPOR9LE,595887,male,31,yes,
11,A2P53AN2M8IWFP,560942,male,34,yes,"I answered thoughtfully, good luck!"
12,A2V6E7SGEU0EFD,1429647,male,33,yes,
13,A2VRDE2FHCBMF8,633091,male,43,yes,"Thank you very much for this HIT, and best of luck with your research!"
14,A30HUZHJBOX1LK,655499,male,54,yes,
15,A368366DSK3KW6,638555,female,43,yes,"No, it was great!"
16,A3785TR8D5I81Q,1041488,female,30,yes,None
17,A38OPVI04AH4JG,441169,male,54,yes,none
18,A3BLJ6QSDTZC9U,964053,female,37,yes,
19,A3CD3C99T8S6ON,542311,male,32,yes,This was a fun and engaging task!
20,A3DG8M8G0L4DNZ,612711,male,33,yes,no
21,A3F90N8YVKJ4I7,562312,male,44,yes,
22,A3OZ8KF0HWSVWK,709982,male,56,yes,
23,A3U21PUMQ6NGT2,573651,female,40,yes,
24,A9MJVJAMLCDMV,1193570,male,49,yes,"This is why I never became a teacher... also, some students need more help than others. Some will understand quickly while others will take awhile."
25,AERUGBNS48Z4N,451404,male,34,yes,
26,AIEKCWYZTS41V,578385,male,37,yes,
27,AIHHRINW9IN1I,602344,female,38,yes,
28,AL4G180SOE4E6,784597,male,32,yes,The comprehension questions are poorly worded I feel.
29,AXTZU0PO55S3S,1172512,female,39,yes,
